,date,region,min,max
244,5/20/20,Germany_nan,14.0,19.0
245,5/21/20,Germany_nan,7.0,24.0
246,5/22/20,Germany_nan,8.0,23.0
247,5/23/20,Germany_nan,11.0,18.0
248,5/24/20,Germany_nan,7.0,16.0
249,5/25/20,Germany_nan,10.0,19.0
250,1/22/20,Iran_nan,-4.1,4.9
251,1/23/20,Iran_nan,-2.4,6.5
252,1/24/20,Iran_nan,-5.1,5.0
253,1/25/20,Iran_nan,-6.2,6.7
254,1/26/20,Iran_nan,-2.8,3.5
255,1/27/20,Iran_nan,-6.5,8.2
256,1/28/20,Iran_nan,-5.1,9.2
257,1/29/20,Iran_nan,-3.1,11.0
258,1/30/20,Iran_nan,0.2,7.5
259,1/31/20,Iran_nan,-4.7,10.9
260,2/1/20,Iran_nan,-2.1,10.2
261,2/2/20,Iran_nan,-0.9,6.5
262,2/3/20,Iran_nan,-3.8,7.8
263,2/4/20,Iran_nan,-3.6,10.7
264,2/5/20,Iran_nan,-1.6,11.8
265,2/6/20,Iran_nan,0.7,15.2
266,2/7/20,Iran_nan,0.8,14.2
267,2/8/20,Iran_nan,3.2,13.9
268,2/9/20,Iran_nan,5.9,11.7
269,2/10/20,Iran_nan,0.9,8.8
270,2/11/20,Iran_nan,-3.3,5.7
271,2/12/20,Iran_nan,-5.0,5.1
272,2/13/20,Iran_nan,-5.1,13.8
273,2/14/20,Iran_nan,1.6,16.3
274,2/15/20,Iran_nan,-1.4,14.6
275,2/16/20,Iran_nan,-2.9,18.3
276,2/17/20,Iran_nan,4.5,16.8
277,2/18/20,Iran_nan,4.1,17.7
278,2/19/20,Iran_nan,3.4,19.5
279,2/20/20,Iran_nan,7.8,16.2
280,2/21/20,Iran_nan,2.8,16.4
281,2/22/20,Iran_nan,1.9,15.9
282,2/23/20,Iran_nan,1.6,16.2
283,2/24/20,Iran_nan,3.7,20.2
284,2/25/20,Iran_nan,10.2,19.8
285,2/26/20,Iran_nan,4.4,15.0
286,2/27/20,Iran_nan,-1.6,13.4
287,2/28/20,Iran_nan,-0.4,18.7
288,2/29/20,Iran_nan,4.5,20.1
289,3/1/20,Iran_nan,3.3,18.4
290,3/2/20,Iran_nan,7.3,16.0
291,3/3/20,Iran_nan,3.3,13.9
292,3/4/20,Iran_nan,0.3,9.8
